📺央视频道,#genre#
安徽卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/ahwshd8m/index.m3u8 (Unknown,Unknown)
重庆卫视,http://110.80.17.38:9999/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0 (厦门,电信)
重庆卫视,http://49.234.31.101:7066/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
重庆卫视,http://219.145.93.74:10000/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0 (Unknown,Unknown)
重庆卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cqws8m/index.m3u8 (Unknown,Unknown)
东方卫视,http://202.168.187.221:9999http://16.0.0.1:4001/rtp/239.77.0.98:5146 (Unknown,Unknown)
东南卫视,http://219.145.93.74:10000/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0 (Unknown,Unknown)
东南卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/dnwshd8m/index.m3u8 (Unknown,Unknown)
甘肃卫视,http://110.80.17.38:9999/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0 (厦门,电信)
甘肃卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/gswssd4m/index.m3u8 (Unknown,Unknown)
广西卫视,http://110.80.17.38:9999/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0 (厦门,电信)
广西卫视,http://49.234.31.101:7066/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
贵州卫视,http://219.145.93.74:10000/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0 (Unknown,Unknown)
贵州卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/gzwshd8m/index.m3u8 (Unknown,Unknown)
河北卫视,http://110.80.17.38:9999/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0 (厦门,电信)
河南卫视,http://49.234.31.101:7066/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
河南卫视,http://49.234.31.101:7066/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
河南卫视,http://219.145.93.74:10000/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0 (Unknown,Unknown)
吉林卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/jlwshd8m/index.m3u8 (Unknown,Unknown)
江苏卫视,http://110.80.17.38:9999/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0 (厦门,电信)
江苏卫视,http://202.168.187.221:9999http://16.0.0.1:4001/rtp/239.77.0.90:5146 (Unknown,Unknown)
江苏卫视,http://120.202.94.181:9446/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0 (Unknown,Unknown)
江苏卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/jswshd8m/index.m3u8 (Unknown,Unknown)
江西卫视,http://110.80.17.38:9999/tsfile/live/0138_2.m3u8?key=txiptv&playlive=0&authid=0 (厦门,电信)
江西卫视,http://49.234.31.101:7066/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
江西卫视,http://219.145.93.74:10000/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0 (Unknown,Unknown)
江西卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/jxws8m/index.m3u8 (Unknown,Unknown)
辽宁卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/lnwshd8m/index.m3u8 (Unknown,Unknown)
内蒙古卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/nmgws2d5m/index.m3u8 (Unknown,Unknown)
宁夏卫视,http://110.80.17.38:9999/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0 (厦门,电信)
宁夏卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/nxwssd4m/index.m3u8 (Unknown,Unknown)
青海卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/qhwssd4m/index.m3u8 (Unknown,Unknown)
山东卫视,http://110.80.17.38:9999/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0 (厦门,电信)
山东卫视,http://202.168.187.221:9999http://16.0.0.1:4001/rtp/239.77.0.94:5146 (Unknown,Unknown)
山东卫视,http://49.234.31.101:7066/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
山东卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001002/XMTsdwshd/index.m3u8 (Unknown,Unknown)
山西卫视,http://110.80.17.38:9999/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0 (厦门,电信)
山西卫视,http://49.234.31.101:7066/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
山西卫视,http://219.145.93.74:10000/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0 (Unknown,Unknown)
陕西卫视,http://49.234.31.101:7066/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
陕西卫视,http://219.145.93.74:10000/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0 (Unknown,Unknown)
陕西卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/sxwssd4m/index.m3u8 (Unknown,Unknown)
四川卫视,http://110.80.17.38:9999/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0 (厦门,电信)
四川卫视,http://49.234.31.101:7066/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
四川卫视,http://219.145.93.74:10000/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0 (Unknown,Unknown)
四川卫视,http://115.150.63.77:9902/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
四川卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/scwshd/index.m3u8 (Unknown,Unknown)
深圳卫视,http://202.168.187.221:9999http://16.0.0.1:4001/rtp/239.77.0.92:5146 (Unknown,Unknown)
深圳卫视,http://49.234.31.101:7066/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
深圳卫视,http://112.30.73.119:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0 (XX,移动)
深圳卫视,http://120.202.94.181:9446/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0 (Unknown,Unknown)
深圳卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/szwshd8m/index.m3u8 (Unknown,Unknown)
天津卫视,http://110.80.17.38:9999/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0 (厦门,电信)
天津卫视,http://202.168.187.221:9999http://16.0.0.1:4001/rtp/239.77.0.97:5146 (Unknown,Unknown)
天津卫视,http://49.234.31.101:7066/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
天津卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/tjwshd8m/index.m3u8 (Unknown,Unknown)
新疆卫视,http://110.80.17.38:9999/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0 (厦门,电信)
新疆卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/xjwssd4m/index.m3u8 (Unknown,Unknown)
云南卫视,http://49.234.31.101:7066/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
云南卫视,http://47.116.70.223:9901http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/ynwshd8m/index.m3u8 (Unknown,Unknown)
广东卫视高清,http://49.234.31.101:7040/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
广东卫视高清,http://115.150.63.77:9902/tsfile/live/0001_20.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
浙江卫视高清,http://49.234.31.101:7066/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
浙江卫视高清,http://49.234.31.101:7040/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
浙江卫视高清,http://115.150.63.77:9902/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
湖南卫视高清,http://49.234.31.101:7066/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
湖南卫视高清,http://49.234.31.101:7040/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
湖南卫视高清,http://115.150.63.77:9902/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
北京卫视高清,http://49.234.31.101:7066/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
北京卫视高清,http://49.234.31.101:7040/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
北京卫视高清,http://115.150.63.77:9902/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
湖北卫视高清,http://49.234.31.101:7066/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
湖北卫视高清,http://49.234.31.101:7040/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
湖北卫视高清,http://115.150.63.77:9902/tsfile/live/0001_18.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
黑龙江卫视高清,http://49.234.31.101:7066/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
黑龙江卫视高清,http://49.234.31.101:7040/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
黑龙江卫视高清,http://115.150.63.77:9902/tsfile/live/0001_21.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
安徽卫视高清,http://49.234.31.101:7040/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
安徽卫视高清,http://115.150.63.77:9902/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
重庆卫视高清,http://49.234.31.101:7040/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
重庆卫视高清,http://115.150.63.77:9902/tsfile/live/0001_30.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
东方卫视高清,http://49.234.31.101:7066/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
东方卫视高清,http://49.234.31.101:7040/tsfile/live/1096_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
东方卫视高清,http://115.150.63.77:9902/tsfile/live/0001_22.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
东南卫视高清,http://49.234.31.101:7040/tsfile/live/1077_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
东南卫视高清,http://115.150.63.77:9902/tsfile/live/0001_26.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
广西卫视高清,http://115.150.63.77:9902/tsfile/live/0001_28.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
贵州卫视高清,http://49.234.31.101:7066/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
贵州卫视高清,http://49.234.31.101:7040/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
贵州卫视高清,http://115.150.63.77:9902/tsfile/live/0001_27.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
河北卫视高清,http://49.234.31.101:7040/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
河北卫视高清,http://115.150.63.77:9902/tsfile/live/0001_24.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
河南卫视高清,http://49.234.31.101:7040/tsfile/live/1078_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
吉林卫视高清,http://115.150.63.77:9902/tsfile/live/0001_31.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
江苏卫视高清,http://49.234.31.101:7066/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
江苏卫视高清,http://49.234.31.101:7040/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
江苏卫视高清,http://115.150.63.77:9902/tsfile/live/0001_17.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
江西卫视高清,http://49.234.31.101:7040/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
江西卫视高清,http://115.150.63.77:9902/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
辽宁卫视高清,http://49.234.31.101:7066/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&down=1 (北京,XX)
辽宁卫视高清,http://49.234.31.101:7040/tsfile/live/1075_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
辽宁卫视高清,http://115.150.63.77:9902/tsfile/live/0001_19.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
山东卫视高清,http://49.234.31.101:7040/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
四川卫视高清,http://49.234.31.101:7040/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
深圳卫视高清,http://49.234.31.101:7040/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
深圳卫视高清,http://115.150.63.77:9902/tsfile/live/0001_23.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
天津卫视高清,http://49.234.31.101:7040/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0 (北京,XX)
天津卫视高清,http://115.150.63.77:9902/tsfile/live/0001_25.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
云南卫视高清,http://115.150.63.77:9902/tsfile/live/0001_32.m3u8?key=txiptv&playlive=1&authid=0 (赣州,电信)
📺广东频道,#genre#
